INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-6 cores-8 cores-16 cores-32 cores-64 
FriesianSMTest_ScaleXY_4 100 21 56320 432 28080 1.0 --- --- --- --- --- --- --- 
Friesian_ScaleXY_2 100 21 195584 1728 117504 1.0 0.607134032932 0.664284523702 --- 1.2156770257 1.05429154322 0.470142333405 0.496074276817 
Friesian_ScaleXY_4 100 21 56320 432 28080 1.0 1.10329554588 0.863988905267 --- 0.825821007202 0.66137523068 0.391411592686 0.370097044878 
Friesian_ScaleXY_8 100 21 22528 108 6804 1.0 0.396378228613 0.403126167711 --- 0.42668240043 0.314031305641 0.211714806589 --- 
Friesian_none_none 173 20 703488 6816 463488 1.0 1.38591258575 2.78439570725 --- 3.58052052801 3.53880390864 1.48961731129 1.54569549845 
Greater_Mars_Ursa_ScaleXY_2 129 41 430080 2331 249417 1.0 0.766715889792 2.04873435594 --- 1.2771995693 --- 0.927516767633 0.484822758837 
Greater_Mars_Ursa_ScaleXY_4 100 41 122880 608 62624 1.0 1.13996276852 0.750838772179 --- 0.658786981261 0.761930812313 0.596561665759 0.346280285379 
Greater_Mars_Ursa_ScaleXY_8 100 41 45056 160 15200 1.0 0.218715922032 0.482820695097 --- 0.386625546793 0.284956460694 0.203605996074 --- 
Greater_Mars_Ursa_none_none 482 41 1677721 8760 954840 1.0 1.64230318805 2.56537982435 --- 2.60567256607 2.50214953964 1.94768267798 1.30009382712 
Gron_Olaf_nod_newHC_ScaleXY_2 8130 364 6081740 17604 880200 1.0 1.36510936029 --- --- 3.02977750809 3.40734494256 2.81818342464 2.09974552913 
Gron_Olaf_nod_newHC_ScaleXY_4 2045 364 1677721 4428 221400 1.0 1.35009327629 1.74480565596 --- 1.69984288586 1.81162717276 1.45226643984 0.730746436825 
Gron_Olaf_nod_newHC_ScaleXY_8 512 364 517120 1107 50922 1.0 0.793214007082 1.2874816055 --- 1.06708276113 0.842385559146 0.610862574896 0.3899008936 
Gron_Olaf_nod_newHC_none_none 23488 364 17825792 50861 2593911 1.0 1.5839820069 2.93285705426 --- 4.31165902984 6.7957285349 8.77960913807 6.73361994636 
HB_test_sand_none_none 100 --- 5324 202 4646 1.0 0.524008190812 0.304877488102 --- 0.317217609495 0.199097072631 0.114550738124 0.0732639557983 
HPHTLwrRchLwTOC_ScaleXY_2 100 15 130048 676 30420 1.0 0.877348921753 0.67550960398 --- 0.563421855274 0.575693189147 0.240594805165 0.213324409195 
HPHTLwrRchLwTOC_ScaleXY_4 100 15 46080 169 7098 1.0 0.557469404781 0.549463851351 --- 0.364362898174 0.242441015489 0.192649789632 --- 
HPHTLwrRchLwTOC_ScaleXY_8 100 15 26624 49 2058 1.0 0.414500123509 0.47717427237 --- 0.393946021285 0.198340507101 --- --- 
HPHTLwrRchLwTOC_none_none 117 15 443392 2601 117045 1.0 --- 1.57432869041 --- 1.06655206993 0.761560934595 0.637796306324 0.431635749833 
Hohonu_2d_v1_200mA_none_none 202 110 148480 1186 56928 1.0 0.562799674919 0.548693740838 --- 1.58220845221 1.17914603777 0.71468011907 0.323671178761 
IOtest-95M00_ScaleXY_2 100 --- 39845888 250000 20500000 1.0 0.853195210534 1.06081351764 --- 0.788331635082 0.65721348499 0.551345179702 0.366033218208 
IOtest-95M00_ScaleXY_4 100 --- 9751756 62500 5125000 1.0 --- 4.0 --- 3.74586208396 2.13549077451 1.20328340792 0.760383080563 
IOtest-95M00_ScaleXY_8 100 --- 2516582 15625 1281250 1.0 1.08424921604 --- --- 0.813453433212 0.613941300021 0.336443254946 0.359913493478 
IOtest-95M00_none_none 100 --- 156237824 1000000 82000000 1.0 0.672170105353 0.555761059905 --- 0.575639434429 0.117910535022 0.0850328600409 0.176560436939 
K3AllSand_ScaleXY_2 100 --- 1468006 7644 894348 1.0 --- 4.0 --- 3.53553134739 2.45774463906 1.84042641618 1.12606352187 
K3AllSand_ScaleXY_4 100 --- 364544 1932 224112 1.0 0.75996712683 0.71926724096 --- 0.647884542229 0.488859721918 0.394841725362 0.509472523415 
K3AllSand_ScaleXY_8 100 --- 102400 483 55062 1.0 0.538620548463 0.714260151049 --- 0.581442611754 0.564395216117 0.301240883765 0.162312139378 
K3AllSand_none_none 100 --- 3879731 21672 2448936 1.0 --- --- --- 2.36890826182 --- 0.851285603408 0.873476792808 
K3_CBM_DIONISOS_SAND1_ScaleXY_2 100 --- 1782579 7644 894348 1.0 1.10075623097 --- --- 0.879045736443 0.676459152514 0.489530637993 0.336107908825 
K3_CBM_DIONISOS_SAND1_ScaleXY_4 100 --- 457728 1932 224112 1.0 --- 4.0 --- 3.5301639436 2.78216212508 2.12572058706 1.22464095163 
K3_CBM_DIONISOS_SAND1_ScaleXY_8 100 --- 128000 483 55062 1.0 0.695572436446 0.686231627494 --- 0.582819154058 0.44077677188 0.325939970463 0.183024647695 
K3_CBM_DIONISOS_SAND1_none_none 100 --- 4928307 21672 2448936 1.0 0.844885654846 0.726706237736 --- 0.690069857824 0.557014881419 0.426449020594 0.272595623594 
L2_Mdst50Pct_NonGeoLoop_none_none 100 --- 655360 2916 253692 1.0 0.870243684713 0.807599693127 --- 0.709901208638 0.592869825431 0.425223677489 --- 
LargeSMTest_ScaleXY_2 100 --- 46080 1728 29376 1.0 0.585262891855 0.541972240829 --- 0.414007685103 0.285411576348 0.193255371508 0.108746331879 
LargeSMTest_ScaleXY_4 100 --- 11264 432 7344 1.0 0.551157685918 0.487982186116 --- 0.390429497925 0.253730114314 0.176772981659 0.0818013384815 
LargeSMTest_ScaleXY_8 100 --- 6246 108 1836 1.0 0.567764460007 0.46022256466 --- 0.370234859006 0.234292234773 --- --- 
LargeSMTest_none_none 100 --- 133120 6816 115872 1.0 2.0 --- --- 1.55169582309 1.09537600012 0.656231920134 0.311155637147 
LunskoyeDeepHT_ScaleXY_2 343 14 816128 10980 757620 1.0 1.72128768777 2.14089558176 --- 3.1389758214 2.90449032765 2.37112927718 2.09418385994 
LunskoyeDeepHT_ScaleXY_4 100 14 205824 2745 183915 1.0 1.48825595393 1.73570041385 --- 1.83667252259 1.54685481862 1.08364104506 0.652106360347 
LunskoyeDeepHT_ScaleXY_8 100 14 58368 713 46345 1.0 0.898288976459 0.965412701496 --- 0.779180407651 0.380263245928 0.350464296264 0.228324301982 
LunskoyeDeepHT_none_none 1371 14 3355443 43920 3074400 1.0 1.79745327104 2.3849172183 --- 3.76010307463 5.48526365738 6.0597227613 5.22108703026 
LunskoyeDeepL4_ScaleXY_2 343 14 816128 10980 757620 1.0 2.0 2.52566072827 --- 3.69975282258 3.97600255938 3.38676863614 2.00300408147 
LunskoyeDeepL4_ScaleXY_4 100 14 205824 2745 183915 1.0 1.44361022291 1.59684510284 --- 1.53059593009 1.52530300863 1.26885873471 0.743252552101 
LunskoyeDeepL4_ScaleXY_8 100 14 58368 713 46345 1.0 1.13881647229 1.14419939346 --- 1.14308729811 0.653946875082 0.508328653392 0.316542653249 
LunskoyeDeepL4_none_none 1371 14 3355443 43920 3074400 1.0 --- 4.0 --- --- 21.3314580651 24.4258420823 21.4496977839 
LunskoyeDeep_test_GSY_ScaleXY_2 100 --- 586752 10980 724680 1.0 2.0 1.84956497209 --- 1.37395476927 1.04581606739 0.552003607703 0.38577061242 
LunskoyeDeep_test_GSY_ScaleXY_4 100 --- 148480 2745 175680 1.0 0.632691369384 0.615117103984 --- 0.499082965075 0.239036553645 0.181725809913 0.126001907857 
LunskoyeDeep_test_GSY_ScaleXY_8 100 --- 41984 713 44206 1.0 0.649045320081 0.556569895223 --- 0.451579282865 0.32329597205 0.161413954206 0.0985998276108 
LunskoyeDeep_test_GSY_none_none 100 --- 2411724 43920 2898720 1.0 0.677267074329 0.558715144346 --- 0.486962349818 0.276513206469 0.190088395966 0.127285519608 
LunskoyeV2005_08_ScaleXY_2 100 --- 5939 10980 43920 1.0 0.549702728154 0.467269913922 --- 0.348235214803 0.227531190012 0.125253539881 0.0651575611406 
LunskoyeV2005_08_ScaleXY_4 100 --- 1843 2745 10980 1.0 0.49638115117 0.429196921555 --- 0.31816349537 0.212949952595 0.113590540059 0.0619985966805 
LunskoyeV2005_08_ScaleXY_8 100 --- 800 713 2852 1.0 0.496667143417 0.450345118691 --- 0.358280054114 0.234850085034 0.11462234605 0.0669587493034 
LunskoyeV2005_08_none_none 100 --- 22528 43920 175680 1.0 0.549936073816 0.453616159532 --- 0.216060929852 0.18175413105 0.118859654754 0.0670242249871 
LwrRachmat_ScaleXY_2 100 14 108544 576 25920 1.0 1.04333459297 0.989174988768 --- 0.812175254316 0.644060148334 0.277026013094 --- 
LwrRachmat_ScaleXY_4 100 14 41984 144 6336 1.0 0.8879506225 0.802804905279 --- 0.577615981092 0.352596656313 --- --- 
LwrRachmat_ScaleXY_8 100 14 24576 36 1548 1.0 0.849227647308 0.572418221288 --- 0.556687700606 0.399271193432 --- --- 
LwrRachmat_none_none 101 14 374784 2304 103680 1.0 2.0 2.37212895856 --- 2.00853980114 --- 1.04316084562 0.568991497264 
Model3D_v5_ScaleXY_2 100 --- 251904 3685 265320 1.0 2.0 --- --- 1.90970221549 1.1727879261 1.12446017799 --- 
Model3D_v5_ScaleXY_4 100 --- 71680 952 66640 1.0 --- 0.989893102998 --- --- 0.713374794018 0.632604468143 --- 
Model3D_v5_none_none 100 --- 977920 14630 1067990 1.0 0.583005173103 0.637315115171 --- 0.556804022088 0.469932176307 0.349222009772 --- 
Model3D_v6_scenario8_gsy_ScaleXY_2 100 --- 274432 --- --- 1.0 1.7523554629 1.93244334065 --- 1.38160317151 1.01639353249 0.954262360786 1.19269857194 
Model3D_v6_scenario8_gsy_ScaleXY_4 100 --- 76800 952 67592 1.0 1.15873381103 1.01933692005 --- 0.665943771042 0.490238376675 0.383057830664 --- 
Model3D_v6_scenario8_gsy_none_none 100 --- 1153433 14630 1082620 1.0 2.0 1.51397429407 --- 1.9096927913 1.19035612527 1.14694270633 --- 
NVG_2004_TEST_ScaleXY_2 263 13 838656 14803 680938 1.0 1.71245907164 2.24488904116 --- 2.92612419395 6.86007253408 6.03261216273 --- 
NVG_2004_TEST_ScaleXY_4 100 13 220160 3762 169290 1.0 1.22439492303 1.53089098694 --- 1.07655689984 0.575279189891 2.9055506502 --- 
NVG_2004_TEST_ScaleXY_8 100 13 66560 957 43065 1.0 0.819011537126 0.736718483771 --- 0.539959138267 0.277867434499 1.41903991461 --- 
NVG_2004_TEST_none_none 1052 13 3355443 59212 2723752 1.0 1.75661331352 2.94604748507 --- 4.09007727989 4.52635781574 9.43307059031 --- 
NVG_ReducedArea_25oct06_ScaleXY_2 100 9 206848 5859 169911 1.0 1.81006929118 1.31527412531 --- 2.03207713997 3.58232696295 4.02138435275 --- 
NVG_ReducedArea_25oct06_ScaleXY_4 100 9 56320 --- --- 1.0 --- 2.05489192074 --- 1.16559860384 1.40358849809 1.21757034976 0.626270618253 
NVG_ReducedArea_25oct06_none_none 386 9 797696 --- --- 1.0 1.86050346151 3.57105349856 --- 3.32974982976 6.14606759047 8.91547271601 3.07070953865 
NVG_Reduced_TCalib5_ScaleXY_2 100 8 129024 5859 169911 1.0 1.49521383036 2.06493036744 --- 2.33839880178 3.43585176348 5.0403304324 --- 
NVG_Reduced_TCalib5_ScaleXY_4 100 8 36864 1504 42112 1.0 1.65551159842 2.34088008155 --- 1.06174122404 1.13120824907 1.4258621971 --- 
NVG_Reduced_TCalib5_none_none 361 8 492544 23125 670625 1.0 1.81757228512 3.67516073264 --- 4.3153496741 8.96136464658 10.8198650584 --- 
NVG_revised_model_ScaleXY_2 308 8 786432 24883 870905 1.0 1.73709010184 2.83987541647 --- 4.76026788229 8.85857862624 9.60078861958 --- 
NVG_revised_model_ScaleXY_4 100 8 205824 6300 220500 1.0 1.51894380854 3.22533509599 --- 4.33499365571 5.47243551884 4.43497723344 --- 
NVG_revised_model_ScaleXY_8 100 8 58368 1596 54264 1.0 1.2718887952 1.39311445216 --- 2.25661519019 2.42961343033 1.48096040935 --- 
NVG_revised_model_none_none 1227 8 3145728 99234 3473190 1.0 1.99222698743 4.07285166865 --- 7.47816250596 12.9162261106 19.6943558836 --- 
SAUDI1_ScaleXY_2 697 176 723968 2928 87840 1.0 1.39172040555 1.47841946271 --- 1.35497976761 0.771795473864 0.4008493005 --- 
