INSTANCE  cores-1 cores-2 cores-4 cores-6 cores-8 cores-16 cores-32 cores-64 
IOtest-95M00_none_none 0:00:13 0:00:19 0:00:23 --- 0:00:22 0:01:50 0:02:33 0:01:13 
K3AllSand_ScaleXY_2 --- --- 0:00:19 --- 0:00:22 0:00:31 0:00:42 0:01:09 
K3AllSand_ScaleXY_4 0:00:13 0:00:17 0:00:18 --- 0:00:20 0:00:27 0:00:34 0:00:26 
K3AllSand_ScaleXY_8 0:00:10 0:00:19 0:00:14 --- 0:00:17 0:00:18 0:00:34 0:01:03 
K3AllSand_none_none 0:00:58 --- --- --- 0:00:24 --- 0:01:08 0:01:06 
K3_CBM_DIONISOS_SAND1_ScaleXY_2 0:00:23 0:00:21 --- --- 0:00:26 0:00:34 0:00:47 0:01:09 
K3_CBM_DIONISOS_SAND1_ScaleXY_4 --- --- 0:00:20 --- 0:00:23 0:00:29 0:00:39 0:01:07 
K3_CBM_DIONISOS_SAND1_ScaleXY_8 0:00:11 0:00:16 0:00:16 --- 0:00:19 0:00:26 0:00:35 0:01:03 
K3_CBM_DIONISOS_SAND1_none_none 0:00:18 0:00:21 0:00:25 --- 0:00:26 0:00:33 0:00:43 0:01:07 
L2_Mdst50Pct_NonGeoLoop_none_none 0:00:19 0:00:22 0:00:24 --- 0:00:27 0:00:32 0:00:45 --- 
LargeSMTest_ScaleXY_2 0:00:06 0:00:10 0:00:11 --- 0:00:15 0:00:22 0:00:32 0:00:58 
LargeSMTest_ScaleXY_4 0:00:05 0:00:09 0:00:10 --- 0:00:13 0:00:20 0:00:29 0:01:04 
LargeSMTest_ScaleXY_8 0:00:05 0:00:08 0:00:10 --- 0:00:13 0:00:21 --- --- 
LargeSMTest_none_none --- 0:00:11 --- --- 0:00:14 0:00:20 0:00:34 0:01:12 
LunskoyeDeepHT_ScaleXY_2 0:07:13 0:04:11 0:03:22 --- 0:02:17 0:02:29 0:03:02 0:03:26 
LunskoyeDeepHT_ScaleXY_4 0:02:03 0:01:22 0:01:11 --- 0:01:07 0:01:19 0:01:53 0:03:09 
LunskoyeDeepHT_ScaleXY_8 0:00:41 0:00:46 0:00:43 --- 0:00:53 0:01:49 0:01:59 0:03:02 
LunskoyeDeepHT_none_none 0:27:41 0:15:24 0:11:36 --- 0:07:21 0:05:02 0:04:34 0:05:18 
LunskoyeDeepL4_ScaleXY_2 --- 0:04:12 0:03:19 --- 0:02:16 0:02:07 0:02:29 0:04:12 
LunskoyeDeepL4_ScaleXY_4 0:02:11 0:01:30 0:01:22 --- 0:01:25 0:01:25 0:01:43 0:02:56 
LunskoyeDeepL4_ScaleXY_8 0:00:55 0:00:49 0:00:48 --- 0:00:48 0:01:25 0:01:50 0:02:56 
LunskoyeDeepL4_none_none --- --- 0:27:39 --- --- 0:05:11 0:04:31 0:05:09 
LunskoyeDeep_test_GSY_ScaleXY_2 --- 0:00:12 0:00:13 --- 0:00:18 0:00:24 0:00:46 0:01:05 
LunskoyeDeep_test_GSY_ScaleXY_4 0:00:08 0:00:12 0:00:13 --- 0:00:16 0:00:33 0:00:44 0:01:04 
LunskoyeDeep_test_GSY_ScaleXY_8 0:00:06 0:00:10 0:00:12 --- 0:00:15 0:00:21 0:00:42 0:01:09 
LunskoyeDeep_test_GSY_none_none 0:00:08 0:00:13 0:00:15 --- 0:00:18 0:00:32 0:00:46 0:01:09 
LunskoyeV2005_08_ScaleXY_2 0:00:04 0:00:08 0:00:09 --- 0:00:12 0:00:19 0:00:35 0:01:07 
LunskoyeV2005_08_ScaleXY_4 0:00:04 0:00:08 0:00:09 --- 0:00:12 0:00:19 0:00:35 0:01:05 
LunskoyeV2005_08_ScaleXY_8 0:00:04 0:00:09 0:00:09 --- 0:00:12 0:00:19 0:00:39 0:01:07 
LunskoyeV2005_08_none_none 0:00:04 0:00:07 0:00:09 --- 0:00:19 0:00:23 0:00:35 0:01:03 
LwrRachmat_ScaleXY_2 0:00:34 0:00:32 0:00:34 --- 0:00:41 0:00:52 0:02:02 --- 
LwrRachmat_ScaleXY_4 0:00:23 0:00:26 0:00:29 --- 0:00:41 0:01:07 --- --- 
LwrRachmat_ScaleXY_8 0:00:24 0:00:28 0:00:42 --- 0:00:43 0:01:00 --- --- 
LwrRachmat_none_none --- 0:01:02 0:00:53 --- 0:01:02 --- 0:02:00 0:03:41 
Model3D_v5_ScaleXY_2 --- 0:00:21 --- --- 0:00:22 0:00:37 0:00:38 --- 
Model3D_v5_ScaleXY_4 0:00:22 --- 0:00:22 --- --- 0:00:30 0:00:34 --- 
Model3D_v5_none_none 0:00:14 0:00:24 0:00:22 --- 0:00:25 0:00:30 0:00:41 --- 
Model3D_v6_scenario8_gsy_ScaleXY_2 0:00:35 0:00:20 0:00:18 --- 0:00:25 0:00:35 0:00:37 0:00:29 
Model3D_v6_scenario8_gsy_ScaleXY_4 0:00:15 0:00:13 0:00:15 --- 0:00:23 0:00:31 0:00:40 --- 
Model3D_v6_scenario8_gsy_none_none --- 0:00:23 0:00:31 --- 0:00:24 0:00:39 0:00:41 --- 
NVG_2004_TEST_ScaleXY_2 0:12:36 0:07:21 0:05:36 --- 0:04:18 0:01:50 0:02:05 --- 
NVG_2004_TEST_ScaleXY_4 0:04:30 0:03:40 0:02:56 --- 0:04:11 0:07:50 0:01:33 --- 
NVG_2004_TEST_ScaleXY_8 0:02:01 0:02:28 0:02:45 --- 0:03:45 0:07:18 0:01:25 --- 
NVG_2004_TEST_none_none 0:46:26 0:26:26 0:15:45 --- 0:11:21 0:10:15 0:04:55 --- 
NVG_ReducedArea_25oct06_ScaleXY_2 0:04:51 0:02:40 0:03:41 --- 0:02:23 0:01:21 0:01:12 --- 
NVG_ReducedArea_25oct06_ScaleXY_4 0:01:21 --- 0:00:39 --- 0:01:09 0:00:57 0:01:06 0:02:09 
NVG_ReducedArea_25oct06_none_none 0:15:31 0:08:20 0:04:20 --- 0:04:39 0:02:31 0:01:44 0:05:03 
NVG_Reduced_TCalib5_ScaleXY_2 0:05:07 0:03:25 0:02:29 --- 0:02:11 0:01:29 0:01:01 --- 
NVG_Reduced_TCalib5_ScaleXY_4 0:01:23 0:00:50 0:00:35 --- 0:01:19 0:01:14 0:00:58 --- 
NVG_Reduced_TCalib5_none_none 0:14:51 0:08:10 0:04:02 --- 0:03:26 0:01:39 0:01:22 --- 
