INSTANCE,MEMORY_REQUIRED,TOTAL_2D_GRIDPOINTS,TOTAL_3D_GRIDPOINTS,p1,p2,p4,p8,p16,p32,p64
K3AllSand_ScaleXY_8,126,483,55062,1,0.733333333,1.064516129,0.66,0.336734694,0.230769231,0.146666667
Hohonu_2d_v1_200mA_none_none,140,1186,56928,1,1.060606061,0.614035088,0.486111111,0.3125,0.195530726,0.130111524
AdvecTest_none_none,177,2601,57222,1,0.6,0.6,0.428571429,0.333333333,0.2,0.142857143
AdvectionErosionTest_none_none,177,2601,57222,1,0.4,0.4,0.285714286,0.222222222,0.133333333,0.024096386
TemperatureErosionTest_none_none,177,2601,57222,1,1.730769231,4.090909091,6.428571429,5,2.647058824,
Vicksburg_Release_ScaleXY_4,158,1920,61440,1,0.571428571,0.8,0.533333333,0.363636364,0.222222222,
Greater_Mars_Ursa_ScaleXY_4,145,608,62624,1,0.165217391,0.791666667,0.527777778,0.20212766,0.172727273,0.114457831
project5-00M38_ScaleXY_2,143,1920,63360,1,0.84,0.84,0.388888889,0.230769231,0.132911392,0.120689655
Model3D_v5_ScaleXY_4,162,952,66640,1,0.823529412,1,0.608695652,0.05785124,0.066037736,
Model3D_v6_scenario8_gsy_ScaleXY_4,164,952,67592,1,0.48,0.631578947,0.444444444,0.047058824,0.162162162,
rashda_june4_ScaleXY_4,187,1312,80032,1,0.470454545,0.593123209,0.365079365,1.361842105,1.067010309,
SAUDI1_ScaleXY_2,252,2928,87840,1,0.093131548,0.334728033,0.233918129,0.197530864,0.155642023,
Tutorial_none_none,235,2862,91584,1,1.20212766,5.947368421,4.52,2.825,0.99122807,1.097087379
AlphaTestFullRes_none_none,247,2862,97308,1,0.789473684,0.75,0.535714286,0.3,0.170454545,
LwrRachmat_none_none,259,2304,103680,1,1.029411765,1.060606061,0.603448276,0.4375,0.161290323,0.191256831
LargeSMTest_none_none,396,6816,115872,1,0.764705882,0.928571429,0.764705882,0.5,0.276595745,0.2
HPHTLwrRchLwTOC_none_none,307,2601,117045,1,0.9,0.84375,,0.169811321,0.16875,0.138461538
Friesian_ScaleXY_2,263,1728,117504,1,0.223404255,0.84,0.512195122,0.2625,0.201923077,0.159090909
FriesianSMTest_ScaleXY_2,263,1728,117504,1,0.285714286,,,,,
project2-02M46_ScaleXY_4,318,1804,119064,1,0.88,0.956521739,,0.44,0.188034188,0.152777778
0FaultTest01_none_none,833,23125,138750,1,0.333333333,0.5,0.5,0.5,0.333333333,0.2
project4-00M19_none_none,376,3834,141858,1,0.172413793,0.154639175,0.214285714,0.170454545,0.075376884,0.05
project4-00M19_ScaleXY_2,376,3834,141858,1,2,1.745098039,,,,
project4-00M19_ScaleXY_4,376,3834,141858,1,0.2,0.188118812,,,,
project4-00M19_ScaleXY_8,376,3834,141858,1,0.212765957,0.2,,,,
AMT_IO_Pressure_Model_none_none,378,3705,144495,1,0.875,0.84,0.525,0.375,0.221052632,0.144827586
30_30_Regional_A_ScaleXY_8,368,1836,148716,1,0.181451613,0.9,0.529411765,0.625,0.05859375,0.107913669
Zeraf_2_HRes_NewRel_ScaleXY_8,392,3835,153400,1,0.654545455,1.333333333,0.75,0.52173913,0.191489362,
CA1_scenario2_ScaleXY_2,387,3510,161460,1,0.237903226,0.880597015,0.556603774,0.353293413,0.1,0.163434903
NVG_2004_TEST_ScaleXY_4,429,3762,169290,1,0.875,0.608695652,,0.482758621,0.311111111,
AANVG_Reduced_TCalib5Small_ScaleXY_2,446,5859,169911,1,0.282051282,1,0.6875,0.5,0.268292683,0.103773585
NVG_Reduced_TCalib5_ScaleXY_2,446,5859,169911,1,1.071428571,1.153846154,0.163043478,0.254237288,0.375,
NVG_ReducedArea_25oct06_ScaleXY_2,469,5859,169911,1,0.684210526,0.866666667,0.164556962,0.351351351,0.288888889,
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none,430,3705,170430,1,1,0.954545455,0.65625,0.256097561,0.203883495,0.127272727
LunskoyeDeep_test_GSY_ScaleXY_4,445,2745,175680,1,0.769230769,0.833333333,0.833333333,0.434782609,0.263157895,0.222222222
Thermal_ScaleXY_8,400,3074,181366,1,0.611721612,0.787735849,2.049079755,2.955752212,1.876404494,
LunskoyeDeepHT_ScaleXY_4,451,2745,183915,1,0.642857143,0.692307692,0.529411765,0.28125,0.191489362,0.140625
LunskoyeDeepL4_ScaleXY_4,451,2745,183915,1,0.818181818,0.75,0.5,0.257142857,0.166666667,0.147540984
NVG_revised_model_ScaleXY_4,593,6300,220500,1,,0.185185185,,0.10989011,0.3125,
project3-04M96_ScaleXY_4,593,6300,220500,1,1,1.1,0.523809524,0.6875,0.333333333,0.25
Gron_Olaf_nod_newHC_ScaleXY_4,408,4428,221400,1,0.837837838,0.446685879,,0.260942761,0.200258398,0.165598291
K3_CBM_DIONISOS_SAND1_ScaleXY_4,503,1932,224112,1,0.980769231,1.307692308,0.910714286,0.520408163,0.333333333,0.238317757
K3AllSand_ScaleXY_4,503,1932,224112,1,0.782608696,0.620689655,0.666666667,0.297520661,0.24,0.165898618
WR_Section1_none_none,781,2120,226840,1,0.723076923,0.87037037,0.408695652,0.335714286,0.178030303,
Greater_Mars_Ursa_ScaleXY_2,555,2331,249417,1,0.212598425,1.038461538,0.692307692,0.45,,0.160714286
project5-00M38_none_none,569,7680,253440,1,1.088235294,1.121212121,0.560606061,0.420454545,0.24025974,0.145098039
