INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-8 cores-16 cores-32 cores-64 
AdvecTest_ScaleXY_2 100 6 11568 676 14872 1.0 0.25 0.2 0.142857142857 0.111111111111 0.0666666666667 0.0105263157895 
AdvecTest_none_none 177 6 36864 2601 57222 1.0 0.6 0.6 0.428571428571 0.333333333333 0.2 0.142857142857 
AdvectionErosionTest_ScaleXY_2 100 6 10452 676 14872 1.0 0.25 0.2 0.166666666667 0.111111111111 0.0625 0.047619047619 
AdvectionErosionTest_none_none 177 6 5939 2601 57222 1.0 0.4 0.4 0.285714285714 0.222222222222 0.133333333333 0.0240963855422 
AdvectionFault_ScaleXY_2 100 13 13232 289 5202 1.0 0.625 0.555555555556 0.357142857143 0.238095238095 0.131578947368 0.0892857142857 
AdvectionFault_none_none 100 13 36864 1089 19602 1.0 0.75 0.666666666667 0.461538461538 0.285714285714 0.162162162162 0.11320754717 
AlphaTestFullRes_ScaleXY_2 100 19 70540 729 24786 1.0 0.833333333333 0.882352941176 0.51724137931 0.3 0.128205128205 0.112781954887 
AlphaTestFullRes_none_none 247 19 231424 2862 97308 1.0 0.789473684211 0.75 0.535714285714 0.3 0.170454545455 0.11811023622 
BIM9474FracturePressure_none_none 100 2 212 4 48 1.0 2.0 2.0 --- --- --- --- 
BigProject-44M18_ScaleXY_2 22633 8 1153433 263169 8158239 1.0 --- 4.0 5.82278481013 7.07692307692 8.67924528302 2.37113402062 
BigProject-44M18_ScaleXY_4 5681 8 1764322 66049 2047519 1.0 1.36170212766 1.77777777778 2.66666666667 2.90909090909 2.0 1.72972972973 
BigProject-44M18_ScaleXY_8 1432 8 587116 16641 515871 1.0 1.05882352941 1.28571428571 1.2 0.9 0.246575342466 0.514285714286 
BigProject-44M18_none_none 90354 8 4194304 1050625 32569375 1.0 --- --- --- 16.0 21.8666666667 20.6289308176 
BrowseExtensionHigh3_ScaleXY_2 18228 36 4928307 75320 8435840 1.0 --- 4.0 8.20247469066 10.8998505232 12.1331114809 9.58212877792 
BrowseExtensionHigh3_ScaleXY_4 4574 36 1363148 18900 2097900 1.0 0.985507246377 2.11180124224 2.5468164794 1.98250728863 1.87845303867 1.54195011338 
BrowseExtensionHigh3_ScaleXY_8 1152 36 4299161 4760 514080 1.0 0.607142857143 1.54545454545 1.11678832117 0.884393063584 0.554347826087 0.40157480315 
BrowseExtensionHigh3_none_none 72780 36 19922944 300742 33683104 1.0 --- --- --- 16.0 32.2593516209 39.5294117647 
CA1_scenario2_ScaleXY_2 387 51 944113 3510 161460 1.0 0.237903225806 1.01724137931 0.556603773585 0.353293413174 0.1 0.163434903047 
CA1_scenario2_ScaleXY_4 100 51 292532 897 39468 1.0 0.149425287356 0.764705882353 0.448275862069 0.286764705882 0.139784946237 0.106557377049 
CA1_scenario2_ScaleXY_8 100 51 224256 240 10560 1.0 0.121673003802 0.68085106383 0.372093023256 0.188235294118 0.124513618677 --- 
CA1_scenario2_none_none 1518 51 3460300 13795 634570 1.0 0.352380952381 1.32142857143 0.991071428571 0.616666666667 0.350157728707 0.266826923077 
F3_Salt_none_none 100 4 308 4 208 1.0 2.0 2.0 --- --- --- --- 
F3_SeaBed_none_none 100 4 332 4 208 1.0 2.0 2.0 --- --- --- --- 
FriesianSMTest_ScaleXY_2 263 23 47104 1728 117504 1.0 0.285714285714 --- --- --- --- --- 
FriesianSMTest_ScaleXY_4 100 23 15360 432 28080 1.0 2.0 --- --- --- --- --- 
FriesianSMTest_ScaleXY_8 100 23 6963 108 6804 1.0 2.0 --- --- --- --- --- 
FriesianSMTest_none_none 1037 23 174080 6816 463488 1.0 0.35593220339 --- --- --- --- --- 
Friesian_ScaleXY_2 263 23 254540 1728 117504 1.0 0.223404255319 0.84 0.512195121951 0.2625 0.201923076923 0.159090909091 
Friesian_ScaleXY_4 100 23 80080 432 28080 1.0 0.144444444444 0.481481481481 0.433333333333 0.254901960784 0.125 0.0992366412214 
