INSTANCE  cores-1 cores-2 cores-4 cores-8 cores-12 cores-16 cores-20 cores-32 cores-48 cores-64 
NVG_Reduced_TCalib5_ScaleXY_2 0:25:40 0:02:15 0:06:27 --- --- --- --- --- --- --- 
NVG_Reduced_TCalib5_ScaleXY_4 0:07:12 0:00:54 0:00:37 --- --- --- --- --- --- --- 
NVG_Reduced_TCalib5_none_none 0:24:04 0:12:52 0:06:07 --- --- --- --- --- --- --- 
NVG_revised_model_ScaleXY_2 2:13:21 1:13:41 0:46:51 --- --- --- --- --- --- --- 
NVG_revised_model_ScaleXY_4 0:34:02 0:16:40 0:08:55 --- --- --- --- 0:11:04 --- --- 
NVG_revised_model_ScaleXY_8 0:08:03 0:04:01 0:02:25 --- --- --- --- 0:11:29 --- --- 
NVG_revised_model_none_none --- 6:05:29 3:19:48 2:04:10 --- --- --- 0:48:53 --- --- 
SAUDI1_ScaleXY_2 0:16:59 0:13:19 0:29:56 --- --- --- --- --- --- --- 
SAUDI1_ScaleXY_4 --- 0:08:12 0:53:52 --- --- --- --- --- --- --- 
SAUDI1_none_none --- --- 0:26:08 --- --- --- --- --- --- --- 
SimpleSMTest_none_none --- --- 0:01:31 --- --- --- --- --- --- --- 
TS_3D_COUPLED_SGI_none_none --- --- 0:01:42 --- --- --- --- --- --- --- 
TemperatureErosionTest_ScaleXY_2 --- --- 0:01:22 --- --- --- --- --- --- --- 
TemperatureErosionTest_none_none --- --- 0:04:04 --- --- --- --- --- --- --- 
Thermal_ScaleXY_2 --- --- --- 2:25:58 --- 1:29:41 --- 1:09:47 --- --- 
Thermal_ScaleXY_4 --- --- 1:30:22 --- --- --- --- --- --- --- 
Thermal_ScaleXY_8 --- --- 0:22:19 --- --- --- --- --- --- --- 
Thermal_none_none --- --- --- --- --- --- 4:55:36 --- --- --- 
Tutorial_ScaleXY_2 --- 0:01:33 0:01:22 --- --- --- --- --- --- --- 
Tutorial_none_none --- --- 0:02:51 --- --- --- --- --- --- --- 
Vicksburg_Release_ScaleXY_2 --- --- 0:02:23 --- --- --- --- --- --- --- 
Vicksburg_Release_ScaleXY_4 --- --- 0:00:49 --- --- --- --- --- --- --- 
Vicksburg_Release_ScaleXY_8 --- --- 0:00:54 --- --- --- --- --- --- --- 
Vicksburg_Release_none_none --- --- 0:07:10 --- --- --- --- --- --- --- 
WR_Section1_ScaleXY_2 --- --- --- 2:38:39 --- 1:42:38 --- 1:23:27 --- --- 
WR_Section1_ScaleXY_4 --- --- 1:05:28 --- --- --- --- --- --- --- 
WR_Section1_ScaleXY_8 0:43:45 --- 0:19:46 --- --- --- --- --- --- --- 
WR_Section1_none_none 0:35:19 --- 0:18:18 --- --- --- --- --- --- --- 
Zeraf_2_HRes_NewRel_ScaleXY_2 --- --- --- 2:06:18 --- --- --- --- --- --- 
Zeraf_2_HRes_NewRel_ScaleXY_4 --- --- 0:40:16 --- --- --- --- --- --- --- 
Zeraf_2_HRes_NewRel_ScaleXY_8 --- --- 0:10:28 --- --- --- --- --- --- --- 
Zeraf_2_HRes_NewRel_none_none --- --- --- --- --- --- 4:54:41 --- --- --- 
opl_245_C_ScaleXY_2 --- --- --- --- 5:08:32 --- --- --- --- --- 
opl_245_C_ScaleXY_4 5:31:35 3:06:26 2:20:22 --- --- --- --- --- --- --- 
opl_245_C_ScaleXY_8 1:05:27 --- 0:35:33 --- --- --- --- --- --- --- 
opl_245_C_none_none --- --- --- --- --- --- --- --- 10:18:30 --- 
opl_245_ScaleXY_2 --- --- --- --- --- --- 5:22:07 --- --- --- 
opl_245_ScaleXY_4 --- 5:11:35 --- 1:53:45 --- --- --- --- --- --- 
opl_245_ScaleXY_8 1:54:43 1:00:30 0:40:17 --- --- --- --- --- --- --- 
project1-56M78_ScaleXY_2 --- --- --- --- --- --- 3:43:57 --- --- --- 
project1-56M78_ScaleXY_4 --- --- 3:12:59 --- --- --- --- --- --- --- 
project1-56M78_ScaleXY_8 2:37:32 --- 1:16:51 --- --- --- --- --- --- --- 
project2-02M46_ScaleXY_2 1:39:40 --- --- --- --- --- --- --- --- --- 
project2-02M46_ScaleXY_4 0:02:08 --- --- --- --- --- --- --- --- --- 
project2-02M46_ScaleXY_8 0:00:28 --- --- --- --- --- --- --- --- --- 
project2-02M46_none_none 7:10:11 4:16:48 2:27:57 1:27:45 --- --- --- 0:37:57 --- --- 
project3-04M96_ScaleXY_2 2:19:49 --- --- --- --- --- --- --- --- --- 
project3-04M96_ScaleXY_4 0:34:30 --- --- --- --- --- --- --- --- --- 
project3-04M96_ScaleXY_8 0:07:21 --- --- --- --- --- --- --- --- --- 
project3-04M96_none_none 12:00:53 0:00:10 --- --- --- --- --- 0:44:25 --- --- 
project4-00M19_none_none 0:01:42 0:20:27 0:16:59 --- --- --- --- --- --- --- 
project5-00M38_ScaleXY_2 0:05:20 --- --- --- --- --- --- --- --- --- 
project5-00M38_ScaleXY_4 0:00:27 --- --- --- --- --- --- --- --- --- 
project5-00M38_ScaleXY_8 0:01:19 --- --- --- --- --- --- --- --- --- 
project5-00M38_none_none 0:02:07 0:14:25 0:10:55 --- --- --- --- --- --- --- 
rashda_june4_ScaleXY_2 --- --- 0:34:17 --- --- --- --- --- --- --- 
rashda_june4_ScaleXY_4 --- --- 0:51:33 --- --- --- --- --- --- --- 
rashda_june4_none_none --- --- 3:20:26 --- --- --- --- --- --- --- 
0FaultTest01_ScaleXY_2 0:00:30 0:00:32 --- 0:00:13 --- 0:00:14 --- 0:00:23 --- --- 
