INSTANCE  cores-1 cores-2 cores-4 cores-8 cores-16 cores-32 cores-64 
NVG_revised_model_ScaleXY_4 0:00:10 --- 0:00:54 --- 0:01:31 0:00:32 --- 
NVG_revised_model_ScaleXY_8 0:00:05 0:00:39 0:01:16 0:01:35 0:01:59 0:00:33 --- 
NVG_revised_model_none_none --- 0:01:27 0:00:53 0:01:49 0:00:50 0:00:46 --- 
SAUDI1_ScaleXY_2 0:01:20 0:14:19 0:03:59 0:05:42 0:06:45 0:08:34 --- 
SAUDI1_ScaleXY_4 0:01:08 0:11:51 0:10:49 0:17:21 0:03:00 0:08:39 --- 
SAUDI1_none_none 0:21:51 0:19:15 0:13:36 0:06:23 0:08:50 0:09:07 0:08:23 
SimpleSMTest_none_none 0:00:08 0:01:03 0:01:31 0:00:15 0:00:24 0:00:46 --- 
TS_3D_COUPLED_SGI_ScaleXY_2 0:00:09 --- --- --- --- --- --- 
TS_3D_COUPLED_SGI_none_none 0:00:07 0:01:03 0:00:12 0:00:18 0:00:25 0:00:48 --- 
TemperatureErosionTest_ScaleXY_2 0:00:53 0:00:10 0:00:10 0:00:20 0:00:10 0:00:16 --- 
TemperatureErosionTest_none_none 0:00:45 0:00:26 0:00:11 0:00:07 0:00:09 0:00:17 --- 
Thermal_ScaleXY_2 --- 0:04:00 0:09:06 0:05:18 0:03:41 0:03:46 --- 
Thermal_ScaleXY_4 0:01:55 0:07:09 0:07:06 0:04:18 0:06:04 0:03:23 --- 
Thermal_ScaleXY_8 0:05:34 0:09:06 0:07:04 0:02:43 0:01:53 0:02:58 --- 
Thermal_none_none --- --- --- 0:10:03 0:05:50 0:06:14 --- 
Tutorial_ScaleXY_2 0:03:06 0:01:57 0:00:43 0:01:04 0:00:34 0:00:53 --- 
Tutorial_none_none 0:01:53 0:01:34 0:00:19 0:00:25 0:00:40 0:01:54 0:01:43 
Vicksburg_Release_ScaleXY_2 0:00:26 0:00:17 0:00:12 0:00:20 0:00:22 0:00:36 --- 
