INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-8 cores-12 cores-16 cores-20 cores-32 cores-48 cores-64 
HPHTLwrRchLwTOC_ScaleXY_8 100 780 25600 49 2058 1.0 --- --- --- --- --- --- --- --- --- 
HPHTLwrRchLwTOC_none_none 307 807 436528 2601 117045 1.0 1.53333333333 1.8898225957 1.65630114566 --- 1.60380348653 --- --- --- --- 
Hohonu_2d_v1_200mA_none_none 140 399 139264 1186 56928 1.0 --- 1.75714285714 --- --- --- --- --- --- --- 
IOtest-95M00_ScaleXY_2 47000 38 39845888 250000 20500000 1.0 --- --- 8.0 --- 14.4451291775 --- 25.0129283809 --- --- 
IOtest-95M00_ScaleXY_4 11750 38 10631264 62500 5125000 1.0 2.0 3.28075571178 5.53521126761 --- 8.98015634396 --- 13.8022181146 --- --- 
IOtest-95M00_ScaleXY_8 2938 38 5217340 15625 1281250 1.0 1.67511994517 2.83855981417 4.55121042831 --- --- --- --- --- --- 
IOtest-95M00_none_none 188000 38 156237824 1000000 82000000 1.0 --- --- --- --- --- --- --- --- 64.0 
K3AllSand_ScaleXY_2 1988 135 1429447 7644 894348 1.0 1.62318160488 2.68973561431 3.78032786885 --- --- --- --- --- --- 
K3AllSand_ScaleXY_4 503 135 364848 1932 224112 1.0 1.05412054121 2.09535452323 0.423000987167 --- --- --- --- --- --- 
K3AllSand_ScaleXY_8 126 133 102920 483 55062 1.0 0.73726541555 1.21145374449 0.971731448763 --- --- --- --- --- --- 
K3AllSand_none_none 5635 132 3890394 21672 2448936 1.0 1.68984280532 2.74895500369 4.3249516441 --- --- --- --- --- --- 
K3_CBM_DIONISOS_SAND1_ScaleXY_2 1988 316 1805230 7644 894348 1.0 1.7387329932 3.02031019202 4.56927374302 --- --- --- --- --- --- 
K3_CBM_DIONISOS_SAND1_ScaleXY_4 503 316 457632 1932 224112 1.0 1.58640939597 2.42125480154 1.45349730976 --- --- --- --- --- --- 
K3_CBM_DIONISOS_SAND1_ScaleXY_8 126 310 127548 483 55062 1.0 1.26180257511 1.0518783542 1.47738693467 --- 0.479608482871 --- --- --- --- 
K3_CBM_DIONISOS_SAND1_none_none 5635 307 4894592 21672 2448936 1.0 1.72636711947 2.99987894928 4.84780907668 --- --- --- --- --- --- 
L2_Mdst50Pct_NonGeoLoop_none_none 560 624 655360 2916 253692 1.0 --- 2.62698848053 --- --- --- --- --- --- --- 
LargeSMTest_ScaleXY_2 101 66 36032 1728 29376 1.0 0.944827586207 1.77922077922 2.140625 --- --- --- --- --- --- 
LargeSMTest_ScaleXY_4 100 66 24720 432 7344 1.0 0.666666666667 1.48717948718 1.18367346939 --- --- --- --- --- --- 
LargeSMTest_ScaleXY_8 100 69 6144 108 1836 1.0 --- --- --- --- --- --- --- --- --- 
LargeSMTest_none_none 396 66 133072 6816 115872 1.0 1.5671641791 2.87671232877 4.11764705882 --- --- --- --- --- --- 
LunskoyeDeepHT_ScaleXY_2 1801 576 1621076 10980 757620 1.0 1.78675777568 2.73458348359 4.41385331781 --- --- --- --- --- --- 
LunskoyeDeepHT_ScaleXY_4 451 564 421088 2745 183915 1.0 1.71612265084 2.53284671533 2.78938906752 --- --- --- --- --- --- 
LunskoyeDeepHT_ScaleXY_8 117 536 135756 713 46345 1.0 1.49128919861 2.02843601896 1.31692307692 --- --- --- --- --- --- 
LunskoyeDeepHT_none_none 7203 585 3250585 43920 3074400 1.0 1.70067264574 2.69130691898 4.65541429198 --- --- --- --- --- --- 
LunskoyeDeepL4_ScaleXY_2 1801 574 1621076 10980 757620 1.0 1.72581934452 2.7303193171 4.54287217254 --- --- --- --- --- --- 
LunskoyeDeepL4_ScaleXY_4 451 564 421080 2745 183915 1.0 1.61482675262 2.6025974026 3.59139784946 --- --- --- --- --- --- 
LunskoyeDeepL4_ScaleXY_8 117 536 56320 713 46345 1.0 1.41954022989 2.18584070796 --- --- --- --- --- --- --- 
LunskoyeDeepL4_none_none 7203 586 3250585 43920 3074400 1.0 2.0 3.24205052006 5.65845435685 --- --- --- --- --- --- 
LunskoyeDeep_test_GSY_ScaleXY_2 1779 376 1196335 10980 724680 1.0 1.67724531895 2.73550724638 4.65228873239 --- --- --- --- --- --- 
LunskoyeDeep_test_GSY_ScaleXY_4 445 374 313060 2745 175680 1.0 1.65239948119 2.67085953878 3.62962962963 --- --- --- 3.12254901961 --- --- 
LunskoyeDeep_test_GSY_ScaleXY_8 116 355 99956 713 44206 1.0 1.53299492386 2.04054054054 2.22058823529 --- --- --- 0.986928104575 --- --- 
LunskoyeDeep_test_GSY_none_none 7116 386 2380552 43920 2898720 1.0 1.61977766475 2.6391618326 4.55330882353 --- 7.68459152017 --- 11.0361386139 --- --- 
LunskoyeV2005_08_ScaleXY_2 352 18 5836 10980 43920 1.0 1.26229508197 2.96153846154 --- --- --- --- --- --- --- 
LunskoyeV2005_08_ScaleXY_4 100 18 1740 2745 10980 1.0 1.33333333333 2.28571428571 --- --- --- --- --- --- --- 
LunskoyeV2005_08_ScaleXY_8 100 18 668 713 2852 1.0 0.8 1.33333333333 --- --- --- --- --- --- --- 
LunskoyeV2005_08_none_none 100 18 316 9 36 1.0 0.00220750551876 0.25 --- --- --- --- --- --- --- 
LwrRachmat_ScaleXY_2 100 788 105472 576 25920 1.0 1.35588972431 1.47010869565 --- --- --- --- --- --- --- 
LwrRachmat_ScaleXY_4 100 783 40960 144 6336 1.0 --- --- --- --- --- --- --- --- --- 
LwrRachmat_ScaleXY_8 100 774 23552 36 1548 1.0 --- --- --- --- --- --- --- --- --- 
LwrRachmat_none_none 259 790 368640 2304 103680 1.0 0.793179805137 2.09718969555 --- --- --- --- --- --- --- 
Model3D_v5_ScaleXY_2 627 375 251904 3685 265320 1.0 1.40216486261 2.66877971474 --- --- --- --- --- --- --- 
Model3D_v5_ScaleXY_4 162 361 71680 952 66640 1.0 0.617924528302 1.9552238806 --- --- --- --- --- --- --- 
Model3D_v5_none_none 2488 380 977920 14630 1067990 1.0 1.65207877462 2.78712059065 --- --- --- --- --- --- --- 
Model3D_v6_scenario8_gsy_ScaleXY_2 634 360 274432 3685 269005 1.0 1.88850174216 3.13294797688 --- --- --- --- --- --- --- 
Model3D_v6_scenario8_gsy_ScaleXY_4 164 348 76800 952 67592 1.0 1.51943462898 1.79166666667 --- --- --- --- --- --- --- 
Model3D_v6_scenario8_gsy_none_none 2517 364 1153433 14630 1082620 1.0 1.82952672475 2.8703361655 --- --- --- --- --- --- --- 
NVG_2004_TEST_ScaleXY_2 1688 428 823296 14803 680938 1.0 1.79302832244 3.25999279798 --- --- --- --- --- --- --- 
NVG_2004_TEST_ScaleXY_4 429 415 216064 3762 169290 1.0 1.77434030937 2.80172413793 --- --- --- --- --- --- --- 
NVG_2004_TEST_ScaleXY_8 110 399 65536 957 43065 1.0 1.17694369973 0.647492625369 --- --- --- --- --- --- --- 
NVG_2004_TEST_none_none 6751 431 3355443 59212 2723752 1.0 2.0 3.155356056 5.80705684682 --- --- --- --- --- --- 
NVG_ReducedArea_25oct06_ScaleXY_2 469 191 200704 5859 169911 1.0 1.64656084656 1.76818181818 --- --- --- --- --- --- --- 
NVG_ReducedArea_25oct06_ScaleXY_4 121 190 54272 1504 42112 1.0 1.47967479675 2.41059602649 --- --- --- --- --- --- --- 
NVG_ReducedArea_25oct06_none_none 1850 191 775168 23125 670625 1.0 1.86339838172 3.31358442658 --- --- --- --- --- --- --- 
NVG_Reduced_TCalib5_ScaleXY_2 446 14 123904 5859 169911 1.0 11.4074074074 3.97932816537 --- --- --- --- --- --- --- 
NVG_Reduced_TCalib5_ScaleXY_4 115 14 35840 1504 42112 1.0 8.0 11.6756756757 --- --- --- --- --- --- --- 
NVG_Reduced_TCalib5_none_none 1758 14 472064 23125 670625 1.0 1.87046632124 3.93460490463 --- --- --- --- --- --- --- 
NVG_revised_model_ScaleXY_2 2340 223 770048 24883 870905 1.0 1.8097715449 2.84631803629 --- --- --- --- --- --- --- 
NVG_revised_model_ScaleXY_4 593 221 439436 6300 220500 1.0 2.042 3.81682242991 --- --- --- --- 3.07530120482 --- --- 
NVG_revised_model_ScaleXY_8 151 214 149268 1596 54264 1.0 2.00414937759 3.33103448276 --- --- --- --- 0.701015965167 --- --- 
NVG_revised_model_none_none 9328 222 3142290 99234 3473190 1.0 2.0 3.65849182516 5.88697986577 --- --- --- 14.9532901466 --- --- 
SAUDI1_ScaleXY_2 252 299 663552 2928 87840 1.0 1.27534418023 0.567371937639 --- --- --- --- --- --- --- 
SAUDI1_ScaleXY_4 100 294 190464 744 22320 1.0 2.0 0.304455445545 --- --- --- --- --- --- --- 
SAUDI1_none_none 999 300 2621440 11616 360096 1.0 --- 4.0 --- --- --- --- --- --- --- 
SimpleSMTest_none_none 100 121 14336 441 7497 1.0 --- 4.0 --- --- --- --- --- --- --- 
TS_3D_COUPLED_SGI_none_none 100 176 25600 441 19845 1.0 --- 4.0 --- --- --- --- --- --- --- 
TemperatureErosionTest_ScaleXY_2 100 93 8089 676 14872 1.0 --- 4.0 --- --- --- --- --- --- --- 
TemperatureErosionTest_none_none 177 93 27648 2601 57222 1.0 --- 4.0 --- --- --- --- --- --- --- 
Thermal_ScaleXY_2 6367 616 8166268 48972 2889348 1.0 --- --- 8.0 --- 13.020628136 --- 16.7336995462 --- --- 
Thermal_ScaleXY_4 1599 612 1887436 12296 725464 1.0 --- 4.0 --- --- --- --- --- --- --- 
Thermal_ScaleXY_8 400 613 490496 3074 181366 1.0 --- 4.0 --- --- --- --- --- --- --- 
Thermal_none_none 25351 617 29360128 195003 11505177 1.0 --- --- --- --- --- 20.0 --- --- --- 
Tutorial_ScaleXY_2 100 67 40960 729 23328 1.0 2.0 2.26829268293 --- --- --- --- --- --- --- 
Tutorial_none_none 235 68 138240 2862 91584 1.0 --- 4.0 --- --- --- --- --- --- --- 
Vicksburg_Release_ScaleXY_2 630 53 222208 7680 261120 1.0 --- 4.0 --- --- --- --- --- --- --- 
Vicksburg_Release_ScaleXY_4 158 52 58368 1920 61440 1.0 --- 4.0 --- --- --- --- --- --- --- 
Vicksburg_Release_ScaleXY_8 100 51 19456 480 15360 1.0 --- 4.0 --- --- --- --- --- --- --- 
Vicksburg_Release_none_none 2520 53 868352 30720 1044480 1.0 --- 4.0 --- --- --- --- --- --- --- 
WR_Section1_ScaleXY_2 10377 441 10751980 28196 4934300 1.0 --- --- 8.0 --- 12.3663527119 --- 15.2091072499 --- --- 
WR_Section1_ScaleXY_4 2614 438 2621440 7102 1193136 1.0 --- 4.0 --- --- --- --- --- --- --- 
WR_Section1_ScaleXY_8 664 431 676864 1802 282914 1.0 --- 2.21332209106 --- --- --- --- --- --- --- 
WR_Section1_none_none 781 337 613376 2120 226840 1.0 --- 1.92987249545 --- --- --- --- --- --- --- 
Zeraf_2_HRes_NewRel_ScaleXY_2 6185 462 5347737 60630 2546460 1.0 --- --- 8.0 --- --- --- --- --- --- 
Zeraf_2_HRes_NewRel_ScaleXY_4 1553 457 1468006 15222 639324 1.0 --- 4.0 --- --- --- --- --- --- --- 
