Requirements:  APPLICATION_NAME=generation  
INSTANCE  MAX_2D_GRIDPOINTS_PER_PROCESS  DURATION  
F3_SeaBed_none_none  4.0  4.50011992455  
F3_Salt_none_none  2.0  9.22658991814  
F3_SeaBed_none_none  2.0  7.70457291603  
Friesian_ScaleXY_4  216.0  46.7117819786  
Friesian_ScaleXY_8  108.0  22.4028749466  
Friesian_ScaleXY_8  54.0  72.8933308125  
Friesian_ScaleXY_2  1728.0  89.8328149319  
FriesianSMTest_ScaleXY_4  432.0  114.693477869  
FriesianSMTest_ScaleXY_2  1728.0  90.9998800755  
CA1_scenario2_ScaleXY_8  45.0  146.389919996  
Greater_Mars_Ursa_ScaleXY_8  145.92  51.9694969654  
Greater_Mars_Ursa_ScaleXY_4  558.752  140.212687969  
CA1_scenario2_none_none  6379.698  2583.84044909  
FriesianSMTest_ScaleXY_2  864.0  114.883029222  
Greater_Mars_Ursa_ScaleXY_2  2163.168  226.671240091  
Greater_Mars_Ursa_ScaleXY_2  1180.448  295.63915801  
Greater_Mars_Ursa_ScaleXY_4  303.088  122.99760294  
Gron_Olaf_nod_newHC_ScaleXY_8  531.36  900.134379148  
Gron_Olaf_nod_newHC_ScaleXY_4  2103.3  2585.20607185  
Greater_Mars_Ursa_ScaleXY_8  79.04  214.455054998  
HB_test_sand_none_none  202.0  4.38891816139  
Hohonu_2d_v1_200mA_none_none  1183.628  329.656006098  
HPHTLwrRchLwTOC_none_none  1248.48  81.299669981  
HPHTLwrRchLwTOC_ScaleXY_2  312.312  39.7682170868  
HPHTLwrRchLwTOC_ScaleXY_4  77.064  21.8503448963  
HPHTLwrRchLwTOC_ScaleXY_8  17.983  17.1466419697  
Greater_Mars_Ursa_none_none  8357.04  707.350575924  
Greater_Mars_Ursa_none_none  4366.86  524.615898132  
Gron_Olaf_nod_newHC_ScaleXY_2  8379.504  8678.53525686  
Gron_Olaf_nod_newHC_ScaleXY_2  5432.508  6357.39194918  
project5-00M38_ScaleXY_4  240.0  177.12902689  
project5-00M38_ScaleXY_4  120.0  176.159104824  
project5-00M38_ScaleXY_4  480.0  201.410690784  
project5-00M38_ScaleXY_8  120.0  90.0130460262  
project5-00M38_ScaleXY_8  60.0  125.50820899  
project5-00M38_ScaleXY_8  60.0  128.785234928  
project5-00M38_ScaleXY_8  120.0  83.1580650806  
project5-00M38_ScaleXY_8  60.0  121.018526077  
project5-00M38_ScaleXY_8  60.0  120.962407112  
project4-00M19_none_none  3810.996  14.1935350895  
project4-00M19_none_none  1918.0  16.4726920128  
project4-00M19_none_none  960.0  16.7006468773  
project5-00M38_none_none  1920.0  681.82089901  
project5-00M38_none_none  3840.0  1250.41045499  
project5-00M38_none_none  7680.0  2381.87028003  
project4-00M19_none_none  3810.996  13.649312973  
Acquifer-00M03_none_none  441.0  25.5795619488  
Acquifer-00M03_ScaleXY_2  121.0  14.7848968506  
Acquifer-00M03_ScaleXY_4  36.0  11.3129038811  
Acquifer-00M03_ScaleXY_8  9.0  7.11621618271  
Acquifer-00M03_ScaleXY_2  121.0  11.55001688  
Acquifer-00M03_ScaleXY_4  36.0  10.3544929028  
Acquifer-00M03_none_none  441.0  27.8436229229  
